GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tpa,ar.edu.dds.tpa.manejoDeArchivos,Archivo,0,81,1,11,0,18,1,10,0,5
tpa,ar.edu.dds.tpa.model,ParadaDeColectivo,0,22,0,2,0,6,0,5,0,4
tpa,ar.edu.dds.tpa.model,PuntoDeInteresConServicios,3,59,0,0,1,12,1,8,1,8
tpa,ar.edu.dds.tpa.model,LocalComercial,11,53,1,3,3,13,3,7,2,6
tpa,ar.edu.dds.tpa.model,Busqueda,29,40,0,0,9,15,6,7,6,7
tpa,ar.edu.dds.tpa.model,Buscador,6,141,1,5,2,31,3,12,2,10
tpa,ar.edu.dds.tpa.model,HorarioDeAtencion,3,89,0,2,1,16,1,11,1,10
tpa,ar.edu.dds.tpa.model,CGP,3,39,1,3,1,9,2,6,1,5
tpa,ar.edu.dds.tpa.model,Servicio,0,41,0,0,0,13,0,6,0,6
tpa,ar.edu.dds.tpa.model,RangoDeHorario,6,34,1,3,2,9,3,6,2,5
tpa,ar.edu.dds.tpa.model,Rubro,0,18,0,0,0,8,0,4,0,4
tpa,ar.edu.dds.tpa.model,Banco,3,59,0,0,1,9,1,3,1,3
tpa,ar.edu.dds.tpa.model,PuntosDeInteresEncontrados,14,18,0,0,6,7,4,3,4,3
tpa,ar.edu.dds.tpa.model,Comuna,3,15,0,0,1,7,1,3,1,3
tpa,ar.edu.dds.tpa.model,DiaYHorarioDeAtencion,3,46,0,0,1,13,1,6,1,6
tpa,ar.edu.dds.tpa.model,PuntoDeInteres,27,106,0,2,8,32,6,17,6,16
tpa,ar.edu.dds.tpa.reporte,ItemDeResultadosPorFecha,15,0,0,0,6,0,3,0,3,0
tpa,ar.edu.dds.tpa.reporte,ItemDeResultadosTotalesPorUsuario,15,0,0,0,6,0,3,0,3,0
tpa,ar.edu.dds.tpa.reporte,ItemDeResultadosParciales,3,0,0,0,1,0,1,0,1,0
tpa,ar.edu.dds.tpa.reporte,Reporte,9,0,0,0,3,0,2,0,2,0
tpa,ar.edu.dds.tpa.service,BancoServiceImpostor,9,76,0,6,6,19,0,9,0,6
tpa,ar.edu.dds.tpa.service,CGPService,0,27,0,0,0,5,0,3,0,3
tpa,ar.edu.dds.tpa.service,ServicioExternoWeb,0,41,0,0,0,14,0,7,0,7
tpa,ar.edu.dds.tpa.service,BajaDePuntoDeInteresServiceReal,0,17,0,0,0,4,0,2,0,2
tpa,ar.edu.dds.tpa.service,CGPServiceImpostor,0,61,0,2,0,12,0,4,0,3
tpa,ar.edu.dds.tpa.service,MailServiceImpostor,0,13,0,0,0,5,0,3,0,3
tpa,ar.edu.dds.tpa.service,BancoService,0,92,0,2,0,20,0,10,0,9
tpa,ar.edu.dds.tpa.geolocalizacion,Posicion,0,83,0,0,0,16,0,5,0,5
tpa,ar.edu.dds.tpa.geolocalizacion,Poligono,0,123,2,16,0,23,2,11,0,4
tpa,ar.edu.dds.tpa.model.usuario,Usuario,18,15,0,0,8,7,5,3,5,3
tpa,ar.edu.dds.tpa.model.usuario,Administrador,6,20,0,0,3,9,2,4,2,4
tpa,ar.edu.dds.tpa.model.usuario,Terminal,22,54,0,0,7,18,4,10,4,10
tpa,ar.edu.dds.tpa.controller,POIsBusquedaController,92,0,0,0,19,0,4,0,4,0
tpa,ar.edu.dds.tpa.controller,AdministracionDePOIController,261,0,18,0,46,0,19,0,7,0
tpa,ar.edu.dds.tpa.controller,HistoricoDeConsultasController,172,0,8,0,39,0,9,0,5,0
tpa,ar.edu.dds.tpa.controller,TerminalController,82,37,0,0,18,7,4,2,4,2
tpa,ar.edu.dds.tpa.controller,LoginController,42,0,0,0,10,0,3,0,3,0
tpa,ar.edu.dds.tpa.persistencia,Fedis,0,29,0,2,0,9,0,5,0,4
tpa,ar.edu.dds.tpa.persistencia,Redis,42,0,2,0,12,0,6,0,5,0
tpa,ar.edu.dds.tpa.persistencia,ExportarTablasSQL,63,0,0,0,23,0,7,0,7,0
tpa,ar.edu.dds.tpa.persistencia,Repositorio,34,121,3,7,13,36,5,17,3,14
tpa,ar.edu.dds.tpa.persistencia,MorphiaDatastore,0,4,0,0,0,1,0,1,0,1
tpa,ar.edu.dds.tpa.persistencia,MorphiaDatastoreMock,0,63,0,2,0,14,0,4,0,3
tpa,ar.edu.dds.tpa.persistencia,Persistible,0,3,0,0,0,1,0,1,0,1
tpa,ar.edu.dds.tpa.persistencia,MorphiaDatastoreMongo,61,0,2,0,12,0,4,0,3,0
tpa,ar.edu.dds.tpa.procesos.fallos,NoHacerNada,4,0,0,0,2,0,2,0,2,0
tpa,ar.edu.dds.tpa.procesos.fallos,ReintentarEjecucion,0,60,0,6,0,18,0,7,0,4
tpa,ar.edu.dds.tpa.procesos.fallos,NotificarAlAdministrador,0,34,0,0,0,8,0,2,0,2
tpa,ar.edu.dds.tpa.morphia.converter,LocalDateConverter,20,36,4,4,4,11,4,3,0,3
tpa,ar.edu.dds.tpa.persistencia.builder,ConsultaBusquedaBuilder,0,33,0,0,0,7,0,4,0,4
tpa,ar.edu.dds.tpa.persistencia.consulta,ConsultaPorRangoDeFechas,0,23,0,0,0,6,0,2,0,2
tpa,ar.edu.dds.tpa.persistencia.consulta,ConsultaNula,5,0,0,0,2,0,2,0,2,0
tpa,ar.edu.dds.tpa.persistencia.consulta,ConsultaPorFecha,0,14,0,0,0,4,0,2,0,2
tpa,ar.edu.dds.tpa.persistencia.consulta,ConsultaPorTexto,0,14,0,0,0,4,0,2,0,2
tpa,ar.edu.dds.tpa.persistencia.consulta,ConsultaPorTerminal,0,14,0,0,0,4,0,2,0,2
tpa,ar.edu.dds.tpa.persistencia.consulta,ConsultaPorCantidadDeResultados,16,0,0,0,4,0,2,0,2,0
tpa,ar.edu.dds.tpa.spark.utils,DarkMagic,20,0,0,0,5,0,2,0,2,0
tpa,ar.edu.dds.tpa.spark.utils,HandlebarsTemplateEngineBuilder,46,0,0,0,13,0,6,0,6,0
tpa,ar.edu.dds.tpa.adapter.model,CentroDTO,12,32,0,0,4,11,4,3,4,3
tpa,ar.edu.dds.tpa.adapter.model,PuntoDeInteresADarDeBaja,0,9,0,0,0,3,0,3,0,3
tpa,ar.edu.dds.tpa.adapter.model,RangoServicioDTO,0,33,0,0,0,12,0,6,0,6
tpa,ar.edu.dds.tpa.adapter.model,BancoDelServicio,6,15,0,0,2,5,2,5,2,5
tpa,ar.edu.dds.tpa.adapter.model,ServicioDTO,0,15,0,0,0,6,0,3,0,3
tpa,ar.edu.dds.tpa.adapter,BancoServiceConverter.new TypeToken() {...},0,3,0,0,0,1,0,1,0,1
tpa,ar.edu.dds.tpa.adapter,BajaDePuntoDeInteresServiceConverter.new TypeToken() {...},0,3,0,0,0,1,0,1,0,1
tpa,ar.edu.dds.tpa.adapter,BancoServiceConverter,3,71,0,2,1,13,1,5,1,4
tpa,ar.edu.dds.tpa.adapter,EnviadorDeMail,0,13,0,0,0,5,0,2,0,2
tpa,ar.edu.dds.tpa.adapter,BajaDePuntoDeInteresServiceConverter,3,35,1,1,1,10,2,2,1,2
tpa,ar.edu.dds.tpa.adapter,CGPServiceConverter,3,84,0,0,1,19,1,7,1,7
tpa,ar.edu.dds.tpa.criterio,FiltradoPorComuna,1,14,1,1,0,4,1,2,0,2
tpa,ar.edu.dds.tpa.criterio,FiltradoSelectivo,21,0,2,0,4,0,4,0,3,0
tpa,ar.edu.dds.tpa.criterio,SinFiltrado,5,0,0,0,2,0,2,0,2,0
tpa,ar.edu.dds.tpa.server,Router,178,0,0,0,29,0,2,0,2,0
tpa,ar.edu.dds.tpa.server,Inicializar,373,0,0,0,57,0,2,0,2,0
tpa,ar.edu.dds.tpa.server,Server,12,0,0,0,6,0,2,0,2,0
tpa,ar.edu.dds.tpa.persistencia.repository.historial,HistorialDeBusquedaEnMongo,17,47,0,0,2,12,1,6,1,6
tpa,ar.edu.dds.tpa.persistencia.repository.historial,HistorialDeBusquedaEnMemoria,97,52,0,0,23,10,18,8,18,8
tpa,ar.edu.dds.tpa.accion,ActivadorDeNotificadorDeBusquedaLenta,11,0,0,0,5,0,2,0,2,0
tpa,ar.edu.dds.tpa.accion,DesactivadorDeNotificadorDeBusquedaLenta,0,11,0,0,0,5,0,2,0,2
tpa,ar.edu.dds.tpa.observer,NotificadorDeBusquedaLenta,21,54,1,3,9,13,7,4,6,3
tpa,ar.edu.dds.tpa.observer,BusquedaObserver,11,10,0,0,5,4,3,2,3,2
tpa,ar.edu.dds.tpa.persistencia.repository,MapaEnBaseDeDatos,75,11,6,0,18,4,12,3,9,3
tpa,ar.edu.dds.tpa.persistencia.repository,UsuarioRepository,0,23,0,0,0,5,0,2,0,2
tpa,ar.edu.dds.tpa.persistencia.repository,TerminalRepository,31,31,0,0,9,8,2,5,2,5
tpa,ar.edu.dds.tpa.persistencia.repository,MapaEnMemoria,58,45,6,0,9,13,10,6,7,6
tpa,ar.edu.dds.tpa.persistencia.repository,ComunaRepository,7,7,0,0,1,2,1,2,1,2
tpa,ar.edu.dds.tpa.procesos,GestorDeAccionesDeTerminales,0,50,0,0,0,10,0,6,0,6
tpa,ar.edu.dds.tpa.procesos,ProcesoQueFallaImpostor,0,18,0,0,0,6,0,3,0,3
tpa,ar.edu.dds.tpa.procesos,ResultadoDeEjecucion,3,25,0,0,1,10,1,4,1,4
tpa,ar.edu.dds.tpa.procesos,ActualizarPOIs,8,107,0,8,5,32,0,17,0,13
tpa,ar.edu.dds.tpa.procesos,ProcesoImpostor,0,13,0,0,0,5,0,3,0,3
tpa,ar.edu.dds.tpa.procesos,PlanificadorDeProcesos,0,29,0,0,0,7,0,2,0,2
tpa,ar.edu.dds.tpa.procesos,Proceso,0,28,0,0,0,11,0,6,0,6
tpa,ar.edu.dds.tpa.procesos,DarDeBajaPuntosDeInteres,3,28,0,0,2,12,0,5,0,5
tpa,ar.edu.dds.tpa.properties,Propiedades,6,21,0,0,2,6,0,2,0,2
